entry_id,Publisher Name,Keyword,Match Type,Campaign,Keyword Group,Category,Bid Strategy,Status,Search Engine Bid,Clicks,Click Charges,Avg. Cost per Click,Impressions,Engine Click Thru %,Avg. Pos.,Trans. Conv. %,Total Cost/ Trans.,Amount,Total Cost,Total Volume of Bookings
mkt_1368,Overture - Global,paris orly airport,Advanced,Unassigned,Unassigned,franceairports,Position 1-2 Target,Paused,$0.20,7,$5.04,$0.72,"2,314",0.30%,1.82,0.00%,$0.00,$0.00,$5.04,0
mkt_1369,Overture - US,air fare deal,Standard,Unassigned,Unassigned,airgeneral,Position 5-10 Bid Strategy,Paused,$0.45,4,$2.10,$0.53,624,0.64%,4.50,0.00%,$0.00,$0.00,$2.10,0
mkt_137,Overture - US,lomé,Standard,Unassigned,Unassigned,regional,Position 5-10 Bid Strategy,Paused,$11.25,3,$0.45,$0.15,51,5.88%,3.32,0.00%,$0.00,$0.00,$0.45,0
mkt_1370,Google - US,france tickets,Broad,Geo Targeted Los Angeles,Los Angeles to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,4,$14.75,$3.69,74,5.41%,1.65,0.00%,$0.00,$0.00,$14.75,0
mkt_1372,Google - US,business class,Broad,Business Class,Business Class - Generic,uncategorized,Position 2-5 Bid Strategy,Live,$13.75,289,"$1,668.59",$5.77,"8,045",3.59%,2.72,0.35%,"$1,668.59",$144.50,"$1,668.59",1
mkt_1373,Yahoo - US,trips to france,Standard,Paris & France Terms,France,uncategorized,,Live,$6.25,57,$117.25,$2.06,972,5.86%,1.19,0.00%,$0.00,$0.00,$117.25,0
mkt_1374,Google - US,delhi cheap flights,Broad,Google_Yearlong 2006,Google|Delhi,uncategorized,Position 5-10 Bid Strategy,Paused,$12.50,5,$14.99,$3.00,162,3.09%,1.04,0.00%,$0.00,$0.00,$14.99,0
mkt_1375,Yahoo - US,air france cheap ticket turkey,Advanced,Western Europe Destinations,Turkey Branded,uncategorized,,Live,$6.25,2,$1.05,$0.53,5,40.00%,1.20,0.00%,$0.00,$0.00,$1.05,0
mkt_1376,Overture - Global,chicago airfare,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,3,$5.96,$1.99,185,1.62%,1.00,0.00%,$0.00,$0.00,$5.96,0
mkt_1377,Google - US,air france spain flight,Broad,Western Europe Destinations,Spain Branded,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.45,$2.45,1,100.00%,2.00,0.00%,$0.00,$0.00,$2.45,0
mkt_138,Google - Global,amsterdam tickets,Broad,Air France Global Campaign,Amsterdam,amsterdam,Position 1- 3,Unavailable,$11.25,1,$2.10,$2.10,141,0.71%,1.00,0.00%,$0.00,$0.00,$2.10,0
mkt_1380,Google - US,paris plane tickets,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Live,$6.25,12,$28.76,$2.40,66,18.18%,1.77,0.00%,$0.00,$0.00,$28.76,0
mkt_1381,Overture - US,low airfare to europe,Advanced,Unassigned,Unassigned,airfare,Position 5-10 Bid Strategy,Paused,$0.20,16,$8.68,$0.54,422,3.79%,1.87,0.00%,$0.00,$0.00,$8.68,0
mkt_1382,Google - US,international airfares,Broad,Google_Yearlong 2006,Google|International Airfare,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,107,$417.94,$3.91,"3,095",3.46%,2.10,0.00%,$0.00,$0.00,$417.94,0
mkt_1383,Google - US,florence airline,Broad,Google_Yearlong 2006,Google|Florence,uncategorized,Postiion 1-4 Bid Strategy,Paused,$6.25,2,$4.09,$2.04,109,1.83%,1.54,0.00%,$0.00,$0.00,$4.09,0
mkt_1384,Google - Global,paris france tourism,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00,28,$50.77,$1.81,"1,074",2.61%,1.54,0.00%,$0.00,$0.00,$50.77,0
mkt_1385,Google - US,italy air flights,Broad,Geo Targeted DC,DC to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.66,$2.66,1,100.00%,1.00,0.00%,$0.00,$0.00,$2.66,0
mkt_1386,Google - US,cheap international flights,Broad,Geo Targeted Boston,Cheap International Boston,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,2,$4.49,$2.24,66,3.03%,2.84,0.00%,$0.00,$0.00,$4.49,0
mkt_1387,Overture - Global,paris plane ticket,Advanced,Unassigned,Unassigned,paris,Position 1-2 Target,Sent,$0.71,39,$32.21,$0.83,"7,552",0.52%,2.69,0.00%,$0.00,$0.00,$32.21,0
mkt_1388,MSN - Global,ticket to france,Broad,Air France Brand & French Destinations,France,uncategorized,Position 2-5 Bid Strategy,Deactivated,$0.00,6,$15.31,$2.55,118,5.08%,1.76,0.00%,$0.00,$0.00,$15.31,0
mkt_1389,Google - US,venice fares,Broad,Western Europe Destinations,Venice,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,2,$3.13,$1.56,61,3.28%,4.29,0.00%,$0.00,$0.00,$3.13,0
mkt_139,Overture - US,discount europe travel,Standard,Unassigned,Unassigned,europe2,Position 5-10 Bid Strategy,Paused,$8.75,20,$25.36,$1.27,"1,402",1.43%,1.18,0.00%,$0.00,$0.00,$25.36,0
mkt_1390,Overture - US,budget airfare europe,Advanced,Unassigned,Unassigned,europe,Position 5-10 Bid Strategy,Paused,$0.49,3,$1.46,$0.49,163,1.84%,1.70,0.00%,$0.00,$0.00,$1.46,0
mkt_1391,Google - US,air france europe flights,Broad,Western Europe Destinations,Europe Branded,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$0.99,$0.99,26,3.85%,1.04,0.00%,$0.00,$0.00,$0.99,0
mkt_1392,Google - US,milan airlines,Broad,Geo Targeted Los Angeles,Los Angeles to Milan Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$4.83,$4.83,9,11.11%,5.34,0.00%,$0.00,$0.00,$4.83,0
mkt_1393,Google - US,istanbul tickets,Broad,Google_Yearlong 2006,Google|Istanbul,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$2.23,$1.11,52,3.85%,1.48,0.00%,$0.00,$0.00,$2.23,0
mkt_1394,Google - US,cheap europe airlines,Broad,Geo Targeted Los Angeles,Cheap Europe Los Angeles,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$1.30,$1.30,8,12.50%,1.75,0.00%,$0.00,$0.00,$1.30,0
mkt_1395,Google - US,rome air ticket,Broad,Geo Targeted San Francisco,San Francisco to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$3.05,$3.05,1,100.00%,1.00,0.00%,$0.00,$0.00,$3.05,0
mkt_1396,Google - Global,trip to lyon,Broad,Air France Global Campaign,Lyon,lyon,Position 1- 3,Unavailable,$8.75,1,$2.14,$2.14,13,7.69%,2.01,0.00%,$0.00,$0.00,$2.14,0
mkt_1397,Google - Global,fly to lyon,Broad,Air France Global Campaign,Lyon,lyon,Position 1- 3,Unavailable,$0.00,2,$1.31,$0.66,34,5.88%,1.94,0.00%,$0.00,$0.00,$1.31,0
mkt_1398,Google - US,international airfares,Broad,Geo Targeted DC,International DC,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,2,$6.38,$3.19,63,3.17%,2.65,0.00%,$0.00,$0.00,$6.38,0
mkt_1399,Google - US,munich airport,Broad,Google_Yearlong 2006,Google|Munich,munich,Position 5-10 Bid Strategy,Paused,$8.75,1,$8.19,$8.19,408,0.25%,1.70,0.00%,$0.00,$0.00,$8.19,0
mkt_140,Yahoo - US,athens flight,Advanced,Geo Targeted DC,DC to Athens Sale,uncategorized,,Live,$6.25,1,$1.33,$1.33,45,2.22%,1.00,0.00%,$0.00,$0.00,$1.33,0
mkt_1400,Overture - US,airfare paris france,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Paused,$0.70,19,$19.54,$1.03,200,9.50%,2.17,5.26%,$19.54,$569.50,$19.54,1
mkt_1401,Google - US,uk plane tickets,Broad,Western Europe Destinations,UK,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,3,$8.12,$2.71,7,42.86%,1.14,0.00%,$0.00,$0.00,$8.12,0
mkt_1402,MSN - Global,airfrance airline,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,Position 2-5 Bid Strategy,Deactivated,$0.00,4,$4.28,$1.07,23,17.39%,1.35,0.00%,$0.00,$0.00,$4.28,0
mkt_1403,Overture - US,yaoundé,Standard,Unassigned,Unassigned,regional,Position 5-10 Bid Strategy,Paused,$11.25,3,$1.62,$0.54,61,4.92%,4.49,0.00%,$0.00,$0.00,$1.62,0
mkt_1404,MSN - Global,travel deal to paris france,Broad,Air France Brand & French Destinations,Paris,uncategorized,Position 2-5 Bid Strategy,Deactivated,$0.00,2,$0.81,$0.41,11,18.18%,1.09,0.00%,$0.00,$0.00,$0.81,0
mkt_1405,Overture - Global,new york city to trip,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,2,$2.61,$1.31,322,0.62%,1.87,0.00%,$0.00,$0.00,$2.61,0
mkt_1406,Google - Global,fly to france,Broad,Air France Global Campaign,France,france,Position 1- 3,Unavailable,$2.50,244,$313.10,$1.28,"5,015",4.87%,2.40,0.41%,$313.10,"$1,132.20",$313.10,1
mkt_1407,Overture - Global,lyon france airport,Standard,Unassigned,Unassigned,lyon,Position 1-2 Target,Paused,$0.28,7,$1.74,$0.25,"1,787",0.39%,2.79,0.00%,$0.00,$0.00,$1.74,0
mkt_1408,Yahoo - US,bordeaux travel,Standard,French Destinations,Bordeaux Branded,uncategorized,,Live,$6.25,1,$0.39,$0.39,73,1.37%,1.84,0.00%,$0.00,$0.00,$0.39,0
mkt_1409,MSN - Global,air france deals,Broad,Air France Brand & French Destinations,Air France Brand,uncategorized,Position 2-5 Bid Strategy,Deactivated,$0.00,2,$1.96,$0.98,18,11.11%,1.28,0.00%,$0.00,$0.00,$1.96,0
mkt_141,Google - US,international airport,Broad,Geo Targeted Detroit,International Detroit,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$1.11,$1.11,33,3.03%,1.12,0.00%,$0.00,$0.00,$1.11,0
mkt_1410,Overture - US,delhi airfare,Standard,Unassigned,Unassigned,delhi,Position 5-10 Bid Strategy,Unavailable,$7.50,3,$1.74,$0.58,270,1.11%,3.01,0.00%,$0.00,$0.00,$1.74,0
mkt_1411,Google - US,spain flight,Broad,Geo Targeted Detroit,Detroit to Spain Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$8.29,$4.14,39,5.13%,1.13,0.00%,$0.00,$0.00,$8.29,0
mkt_1412,Overture - US,ouagadougou,Standard,Unassigned,Unassigned,regional,Position 5-10 Bid Strategy,Paused,$11.25,8,$3.46,$0.43,201,3.98%,2.63,0.00%,$0.00,$0.00,$3.46,0
mkt_1413,Yahoo - US,rome ticket,Advanced,Geo Targeted New York,New York to Rome Sale,uncategorized,,Live,$6.25,2,$5.44,$2.72,559,0.36%,1.00,0.00%,$0.00,$0.00,$5.44,0
mkt_1414,MSN - Global,france airfares,Broad,Air France Brand & French Destinations,France,uncategorized,Position 1-4 Bid Strategy,Deactivated,$0.00,4,$13.44,$3.36,68,5.88%,1.93,0.00%,$0.00,$0.00,$13.44,0
mkt_1415,Google - US,milan plane tickets,Broad,Google_Yearlong 2006,Google|Milan,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,1,$1.01,$1.01,4,25.00%,3.25,0.00%,$0.00,$0.00,$1.01,0
mkt_1416,Yahoo - US,cheap international plane ticket,Advanced,Geo Targeted Cincinnati,Cheap International Cincinnati,uncategorized,,Paused,$6.25,1,$2.59,$2.59,4,25.00%,1.00,0.00%,$0.00,$0.00,$2.59,0
mkt_1417,Google - US,barcelona fare,Broad,Google_Yearlong 2006,Google|Barcelona,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,4,$8.99,$2.25,287,1.39%,1.68,0.00%,$0.00,$0.00,$8.99,0
mkt_1418,Google - US,spain airfares,Broad,Google_Yearlong 2006,Google|Spain,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,13,$20.22,$1.56,139,9.35%,2.47,0.00%,$0.00,$0.00,$20.22,0
mkt_1419,Google - US,barcelona tickets,Broad,Geo Targeted Philadelphia,Philadelphia to Barcelona Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$9.40,$4.70,5,40.00%,1.00,0.00%,$0.00,$0.00,$9.40,0
mkt_142,Google - US,geneva cheap flights,Broad,Google_Yearlong 2006,Google|Geneva,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,3,$9.86,$3.29,179,1.68%,2.41,0.00%,$0.00,$0.00,$9.86,0
mkt_1420,Overture - Global,cheap fare to france,Standard,Unassigned,Unassigned,france,,Sent,$8.75,5,$2.40,$0.48,273,1.83%,3.28,0.00%,$0.00,$0.00,$2.40,0
mkt_1421,Google - Global,paris flight,Broad,Air France Brand & French Destinations,Paris,uncategorized,,Unavailable,$5.00,286,$539.35,$1.89,"3,328",8.59%,1.53,1.05%,$179.78,"$1,335.35",$539.35,3
mkt_1422,Overture - US,flight ticket to paris,Standard,Unassigned,Unassigned,paris,Position 2-5 Bid Strategy,Paused,$0.50,2,$1.08,$0.54,65,3.08%,1.94,0.00%,$0.00,$0.00,$1.08,0
mkt_1423,Overture - Global,air customer france service,Advanced,Unassigned,Unassigned,airfrance,Position 1-2 Target,Paused,$0.13,10,$1.44,$0.14,516,1.94%,1.41,0.00%,$0.00,$0.00,$1.44,0
mkt_1424,Google - US,paris cheap flight,Broad,Geo Targeted Detroit,Detroit to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,3,$7.10,$2.37,9,33.33%,1.00,0.00%,$0.00,$0.00,$7.10,0
mkt_1425,Google - US,istanbul cheap flights,Broad,Google_Yearlong 2006,Google|Istanbul,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,19,$24.74,$1.30,860,2.21%,1.39,0.00%,$0.00,$0.00,$24.74,0
mkt_1426,Overture - US,air france destination,Standard,Unassigned,Unassigned,airfrance,Position 2-5 Bid Strategy,Paused,$0.13,2,$0.58,$0.29,122,1.64%,1.74,0.00%,$0.00,$0.00,$0.58,0
mkt_1427,Overture - US,airfrance uk,Standard,Unassigned,Unassigned,airfrance,,Paused,$7.50,8,$5.71,$0.71,629,1.27%,1.24,0.00%,$0.00,$0.00,$5.71,0
mkt_1428,Google - Global,lyon fare,Broad,Air France Global Campaign,Lyon,lyon,Position 1- 3,Unavailable,$0.00,2,$2.14,$1.07,452,0.44%,1.66,0.00%,$0.00,$0.00,$2.14,0
mkt_1429,Overture - Global,boston paris airfare,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,2,$0.90,$0.45,16,12.50%,1.00,0.00%,$0.00,$0.00,$0.90,0
mkt_143,Google - US,new york to greece,Broad,Western Europe Destinations,Greece,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$0.64,$0.64,19,5.26%,2.89,0.00%,$0.00,$0.00,$0.64,0
mkt_1430,Google - US,international flight,Broad,Geo Targeted Detroit,International Detroit,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,5,$14.04,$2.81,87,5.75%,1.61,0.00%,$0.00,$0.00,$14.04,0
mkt_1431,Google - US,spain tickets,Broad,Geo Targeted New York,New York to Spain Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,3,$10.51,$3.50,46,6.52%,2.20,0.00%,$0.00,$0.00,$10.51,0
mkt_1432,Google - US,europe flight,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,96,$222.87,$2.32,"2,518",3.81%,1.43,0.00%,$0.00,$0.00,$222.87,0
mkt_1433,Google - US,frankfurt cheap flights,Broad,Google_Yearlong 2006,Google|Frankfurt,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,21,$70.60,$3.36,595,3.53%,1.47,0.00%,$0.00,$0.00,$70.60,0
mkt_1434,Google - US,paris cheap flights,Broad,Geo Targeted Detroit,Detroit to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$3.80,$1.90,14,14.29%,1.79,0.00%,$0.00,$0.00,$3.80,0
mkt_1435,Google - Global,amsterdam airfares,Broad,Air France Global Campaign,Amsterdam,amsterdam,Position 1- 3,Unavailable,$11.25,1,$1.35,$1.35,1,100.00%,1.00,0.00%,$0.00,$0.00,$1.35,0
mkt_1437,Overture - Global,chennai travel,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,1,$0.46,$0.46,"1,163",0.09%,1.01,0.00%,$0.00,$0.00,$0.46,0
mkt_1438,Yahoo - US,international airline,Advanced,Geo Targeted Boston,International Boston,uncategorized,,Paused,$6.25,1,$0.65,$0.65,151,0.66%,1.06,0.00%,$0.00,$0.00,$0.65,0
mkt_1439,Overture - Global,detroit travel,Standard,Unassigned,Unassigned,ebsaleend7.28,,Paused,$8.75,1,$1.26,$1.26,717,0.14%,1.02,0.00%,$0.00,$0.00,$1.26,0
mkt_144,Yahoo - US,athens cheap ticket,Advanced,Geo Targeted Los Angeles,Los Angeles to Athens Sale,uncategorized,,Live,$6.25,1,$5.66,$5.66,6,16.67%,4.00,0.00%,$0.00,$0.00,$5.66,0
mkt_1440,Google - US,cont:google_yearlong 2006::google|barcelona,N/A,Google_Yearlong 2006,Google|Barcelona,uncategorized,,Unavailable,$7.50,18,$5.06,$0.28,"44,745",0.04%,1.61,0.00%,$0.00,$0.00,$5.06,0
mkt_1441,Google - US,paris cheap airfares,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,5,$15.80,$3.16,14,35.71%,1.29,0.00%,$0.00,$0.00,$15.80,0
mkt_1442,Google - US,rome airlines,Broad,Geo Targeted New York,New York to Rome Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,4,$11.29,$2.82,57,7.02%,2.48,0.00%,$0.00,$0.00,$11.29,0
mkt_1443,Google - US,flight to rome,Broad,Google_Yearlong 2006,Google|Rome,flight,Position 5-10 Bid Strategy,Paused,$6.25,76,$158.90,$2.09,824,9.22%,2.02,0.00%,$0.00,$0.00,$158.90,0
mkt_1444,Google - US,paris airfare sale,Broad,Geo Targeted San Francisco,San Francisco to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$4.35,$2.18,3,66.67%,1.00,0.00%,$0.00,$0.00,$4.35,0
mkt_1445,Yahoo - US,"air france,com",Advanced,Air France Branded,Air France Website,uncategorized,,Live,$7.50,15,$5.93,$0.40,338,4.44%,4.33,0.00%,$0.00,$0.00,$5.93,0
mkt_1446,Yahoo - US,fly to florence,Advanced,Western Europe Destinations,Florence,uncategorized,,Live,$6.25,1,$2.31,$2.31,11,9.09%,1.27,900.00%,$0.26,"$8,777.95",$2.31,9
mkt_1447,Google - US,cheap international airline ticket,Broad,Geo Targeted Los Angeles,Cheap International Los Angeles,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$1.64,$1.64,23,4.35%,1.96,0.00%,$0.00,$0.00,$1.64,0
mkt_1448,Overture - US,cheap airline ticket to italy,Advanced,Unassigned,Unassigned,italy,Position 5-10 Bid Strategy,Paused,$0.19,18,$12.32,$0.68,379,4.75%,2.67,0.00%,$0.00,$0.00,$12.32,0
mkt_1449,Google - US,france cheap tickets,Broad,Geo Targeted Chicago,Chicago to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,3,$8.94,$2.98,18,16.67%,2.06,0.00%,$0.00,$0.00,$8.94,0
mkt_145,Google - US,barcelona cheap flight,Broad,Western Europe Destinations,Barcelona,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,5,$6.79,$1.36,136,3.68%,5.02,0.00%,$0.00,$0.00,$6.79,0
mkt_1450,Google - US,europe airline,Broad,Google_Yearlong 2006,Google|Europe,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,110,$190.21,$1.73,"5,392",2.04%,1.49,0.00%,$0.00,$0.00,$190.21,0
mkt_1451,Google - US,venice flights,Broad,Google_Yearlong 2006,Google|Venice,venice,Position 5-10 Bid Strategy,Paused,$6.25,54,$133.47,$2.47,"3,191",1.69%,1.62,0.00%,$0.00,$0.00,$133.47,0
mkt_1452,Google - US,europe cheap tickets,Broad,Western Europe Destinations,Europe,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,75,$160.80,$2.14,607,12.36%,1.59,0.00%,$0.00,$0.00,$160.80,0
mkt_1453,Yahoo - US,flight to rome,Advanced,Western Europe Destinations,Rome,uncategorized,,Live,$6.25,18,$27.69,$1.54,"1,594",1.13%,1.18,0.00%,$0.00,$0.00,$27.69,0
mkt_1454,Overture - US,india flights,Standard,Unassigned,Unassigned,india,Position 5-10 Bid Strategy,Paused,$0.54,493,$275.65,$0.56,"13,720",3.59%,2.06,0.20%,$275.65,$726.75,$275.65,1
mkt_1455,Google - US,athens ticket,Broad,Google_Yearlong 2006,Google|Athens,athens,Position 5-10 Bid Strategy,Paused,$6.25,13,$18.71,$1.44,273,4.76%,1.38,0.00%,$0.00,$0.00,$18.71,0
mkt_1456,Google - US,milan airline,Broad,Western Europe Destinations,Milan,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,3,$1.64,$0.55,117,2.56%,4.04,0.00%,$0.00,$0.00,$1.64,0
mkt_1457,Google - US,fly to madrid,Broad,Western Europe Destinations,Madrid,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,20,$17.68,$0.88,581,3.44%,5.23,0.00%,$0.00,$0.00,$17.68,0
mkt_1458,Google - US,france airline,Broad,Geo Targeted Philadelphia,Philadelphia to France Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,2,$3.09,$1.54,23,8.70%,1.22,0.00%,$0.00,$0.00,$3.09,0
mkt_1459,Google - US,air france com,Broad,Air France Branded,Air France Website,uncategorized,Postiion 1-4 Bid Strategy,Live,$15.00,"6,119","$1,905.86",$0.31,"15,166",40.35%,1.04,1.91%,$16.29,"$132,065.35","$1,905.86",117
mkt_146,Google - US,italy cheap airfare,Broad,Geo Targeted San Francisco,San Francisco to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.61,$2.61,4,25.00%,1.00,0.00%,$0.00,$0.00,$2.61,0
mkt_1460,Google - US,overseas travel,Broad,Google_Yearlong 2006,Google|Overseas,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,7,$21.20,$3.03,306,2.29%,2.21,0.00%,$0.00,$0.00,$21.20,0
mkt_1461,Yahoo - US,air france flights,Advanced,Air France Branded,Air France Brand,uncategorized,,Live,$6.25,224,$273.90,$1.22,"4,960",4.52%,1.98,0.00%,$0.00,$0.00,$273.90,0
mkt_1462,Google - US,paris airlines,Broad,Geo Targeted Houston,Houston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,16,$38.15,$2.38,"2,136",0.75%,1.56,0.00%,$0.00,$0.00,$38.15,0
mkt_1463,Google - US,italy plane tickets,Broad,Geo Targeted Boston,Boston to Italy Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.70,$2.70,1,100.00%,2.00,0.00%,$0.00,$0.00,$2.70,0
mkt_1464,Yahoo - US,cheap international air fare,Advanced,Geo Targeted New York,Cheap International New York,uncategorized,,Paused,$6.25,2,$2.06,$1.03,3,66.67%,1.00,0.00%,$0.00,$0.00,$2.06,0
mkt_1465,Yahoo - US,cheap international ticket,Advanced,Geo Targeted Chicago,Cheap International Chicago,uncategorized,,Paused,$6.25,4,$8.63,$2.16,19,21.05%,1.47,0.00%,$0.00,$0.00,$8.63,0
mkt_1466,Google - US,marseille cheap flights,Broad,French Destinations,Marseille,uncategorized,Position 2-5 Bid Strategy,Paused,$10.00,16,$25.10,$1.57,82,19.51%,1.02,0.00%,$0.00,$0.00,$25.10,0
mkt_1467,Google - US,europe tickets,Broad,Geo Targeted Boston,Europe Boston,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,2,$6.00,$3.00,36,5.56%,3.33,0.00%,$0.00,$0.00,$6.00,0
mkt_1468,Google - US,venice plane tickets,Broad,Google_Yearlong 2006,Google|Venice,venice,Position 5-10 Bid Strategy,Paused,$6.25,1,$1.91,$1.91,5,20.00%,2.20,0.00%,$0.00,$0.00,$1.91,0
mkt_1469,Overture - Global,ticket to toulouse,Standard,Unassigned,Unassigned,toulouse,Position 1-2 Target,Paused,$0.51,3,$1.61,$0.54,94,3.19%,2.01,0.00%,$0.00,$0.00,$1.61,0
mkt_147,Google - US,europe ticket,Broad,Google_Yearlong 2006,Google|Europe,europe2,Position 5-10 Bid Strategy,Paused,$6.25,80,$168.24,$2.10,"1,871",4.28%,1.84,0.00%,$0.00,$0.00,$168.24,0
mkt_1470,Overture - US,boston to rome,Advanced,Unassigned,Unassigned,boston,Position 5-10 Bid Strategy,Paused,$1.46,2,$1.45,$0.73,78,2.56%,1.64,0.00%,$0.00,$0.00,$1.45,0
mkt_1471,Yahoo - US,cheap international airline ticket,Advanced,Geo Targeted Boston,Cheap International Boston,uncategorized,,Paused,$6.25,11,$24.59,$2.24,82,13.41%,3.01,0.00%,$0.00,$0.00,$24.59,0
mkt_1472,Overture - US,french air,Standard,Unassigned,Unassigned,french,Position 2-5 Bid Strategy,Paused,$0.13,15,$3.77,$0.25,556,2.70%,2.49,0.00%,$0.00,$0.00,$3.77,0
mkt_1473,Google - US,france cheap air ticket,Broad,Geo Targeted New York,New York to France Sale,uncategorized,Position 5-10 Bid Strategy,Live,$6.25,1,$1.36,$1.36,3,33.33%,1.00,0.00%,$0.00,$0.00,$1.36,0
mkt_1474,Google - US,paris air tickets,Broad,Geo Targeted New York,New York to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Live,$6.25,20,$61.15,$3.06,106,18.87%,1.41,0.00%,$0.00,$0.00,$61.15,0
mkt_1475,Yahoo - US,airframce,Advanced,Air France Branded,Air France Website,uncategorized,,Live,$7.50,1,$0.13,$0.13,2,50.00%,1.00,0.00%,$0.00,$0.00,$0.13,0
mkt_1476,Google - US,turkey plane tickets,Broad,Western Europe Destinations,Turkey,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.84,$2.84,8,12.50%,2.50,0.00%,$0.00,$0.00,$2.84,0
mkt_1477,Google - US,paris airfare,Broad,Geo Targeted Chicago,Chicago to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,24,$44.51,$1.85,194,12.37%,1.71,4.17%,$44.51,"$1,530.00",$44.51,1
mkt_1478,Google - US,international air fares,Broad,Geo Targeted Detroit,International Detroit,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,1,$2.36,$2.36,8,12.50%,1.00,0.00%,$0.00,$0.00,$2.36,0
mkt_1479,Google - US,paris airlines,Broad,Geo Targeted Boston,Boston to Paris Sale,uncategorized,Position 5-10 Bid Strategy,Paused,$6.25,8,$14.81,$1.85,906,0.88%,1.41,0.00%,$0.00,$0.00,$14.81,0
mkt_148,Google - US,france airfare,Broad,Geo Targeted Boston,Boston to France Sale,uncategorized,Position 5-10 Bid Strategy,Unavailable,$6.25,4,$3.99,$1.00,48,8.33%,2.61,0.00%,$0.00,$0.00,$3.99,0
mkt_1480,Google - Global,copenhagen airfares,Broad,Air France Global Campaign,Copenhagen,copenhagen,Position 1- 3,Unavailable,$11.25,1,$2.38,$2.38,1,100.00%,1.00,0.00%,$0.00,$0.00,$2.38,0
